paket;nr;navi_pfad;route_name;controller@methode;schwere;typ;befund;datei:zeile;fix_skizze;aufwand;dedup
P0;11;Personal>Zeitplaene;time_management.status/submit;TimeManagementController;hoch;Auth/Recht;Rechtepruefungen komplett auskommentiert -> jeder Auth-User genehmigt fremde Plaene/gibt eigenen frei;TimeManagementController.php:16-17,181,208,226;Policy/Ownership aktivieren;S;bekannt(routing#25)
P0;12;Berichte>Berichts-Uebersicht;admin.overdue-center.reports.index;OverdueCenterController@recentReportsIndex;hoch;Auth/Recht;canViewAll=true hart gesetzt + employeeId=0 -> jeder Auth-User per Direkt-URL volle MA-/Kundenliste;OverdueCenterController.php:776;canViewAll aus Berechtigung ableiten;S;bekannt(routing#14)
P0;13;Admin>Benutzer>Berechtigungen;user-rolls.index;UserRollController@index;niedrig;Auth/Recht;index ohne permission:Users,read (ajax/store gated) -> leere Shell per Direkt-URL sichtbar;routes/web.php:2239;permission:Users,read an index;S;NEU
P0;14;quer (Secrets);getWeatherData/fusion/bitrix;diverse;hoch;Sicherheit;API-Keys/Tokens hardcodiert: Tomorrow.io (EmployeeDashboard:735), Fusion-Token 5x (FusionForm), Bitrix-Webhook (MessageController:30);mehrere;nach config/.env auslagern + rotieren;M;teils-NEU(bitrix,email-config)
P0;15;quer (Dev-Routen);/route-cache, /fix-notes;Closures;hoch;Sicherheit;GET /route-cache fuehrt Artisan aus, GET /fix-notes schreibt DB; nur auth, kein Admin-Gate;routes/web.php:3969,405;Routen entfernen oder is_admin+POST;S;bekannt-teilgefixt
P1;16;Vertrieb>Auftraege>Neuer Auftrag;deal.save/store/info/price/jump (+junk/unjunk/delete/restore);DealController;kritisch;Erreichbarkeit/Crash;9 Methoden fehlen im Controller -> jeder POST 500, Auftrag-Anlegen komplett blockiert + Listen-Buttons 500;routes/web.php:4168-4243 + DealController.php;Methoden implementieren oder Routen entfernen;L;bekannt(p1 3.13/routing#3)
P1;17;Vertrieb>Angebote>Kommentare;(keine Route);OfferCommentController;kritisch;Erreichbarkeit/CRUD;Controller nur importiert, KEINE Route registriert; UI loadComments GET 404 + /comments/store 404 -> Kommentar-Feature komplett tot;OfferCommentController.php + offer/customer_view.blade.php:910,925;Routen (auth) registrieren, JS-URLs angleichen;M;NEU
P1;18;Vertrieb>Angebote;offers.show / offers.generate-pdf;OfferController@show/@generatePdf;hoch;Crash;Beide Routen gebunden, Methoden fehlen -> offers/{id} und PDF-POST = 500;routes/web.php:3287,3501 + OfferController.php;Methoden ergaenzen oder Routen streichen;M;NEU
P1;19;CRM>Anfragen(Status/Verify/Publish);inquiry.updateStatus/reverify/publish/storeFromAI;InquiryController;kritisch;Erreichbarkeit/Crash;4 Methoden fehlen -> Kanban-Drag, Neu-Verifizieren, Publish, AI-Save = 500;routes/web.php:4011,4021,4045,4085;Methoden implementieren;M;bekannt(fixliste#2/3/6)
P1;20;Lager>Uebergaben;handover.item/store/delete;HandoverController;kritisch;Erreichbarkeit/Crash;importiert+nutzt App\Models\Assets (existiert nicht) -> /handover, Speichern, Loeschen = 500 Class not found;HandoverController.php:8,97,151,234;use Asset; alle Assets:: -> Asset::;S;bekannt(p1 3.6)
P1;21;Artikel-Daten>Rabattgruppen;discount_group.store/update;DiscountGroupController;kritisch;Route-falsch;redirect route('discount.group.info') existiert nicht (korrekt discount_group.info) -> RouteNotFound nach jedem Speichern;DiscountGroupController.php:59,94;Route-Name korrigieren;S;bekannt(fixliste#19)
P1;22;Personal>HR-Daten>Urlaubsanspruch;leave.day.info;LeaveDayController@index;kritisch;Erreichbarkeit/Crash;Blade ruft 3x action() mit falschem Namespace App\Http\Controllers\LeaveDayController (korrekt Employee\Profile) -> 500 beim Render;leave_day.blade.php:26,54,158;Namespace korrigieren oder route();S;bekannt(fixliste#20)
P1;23;Personal>Organisation>Qualifikationen;emp.qualification.delete;QualificationController@destroy;kritisch;CRUD/Crash;destroy ruft FurtherEducation::find ohne Import -> Fatal; loescht zudem falsches Model;QualificationController.php:104;auf Qualification::find + Ownership;S;bekannt(befund#10)
P1;24;CRM>Leads>Leadliste(Objekt);lead.objects.restore-deleted;@restoreDeletedObject;hoch;Routing/404;Wiederherstellen geloeschter Objekte postet auf fehlende Route+Methode -> 404;customer_view.blade.php:5878 + routes/web.php:780;Route + Methode ergaenzen;S;bekannt(p1 3.9)
P1;25;Personal>HR-Daten>Sprachen;language.destroy;LanguagesController@destroy;hoch;Route-falsch;Form POST+DELETE, Route ist GET /language_destroy -> 405 Loeschen scheitert;emp_lang.blade.php:927 + routes/web.php:2828;Route auf Route::delete;S;bekannt(routing#29)
P1;26;Projekte>Wartung>Checklisten;admin.maintenance_checklists.index;MaintenanceChecklistController@index;mittel;CRUD/tot;komplette JS-Schicht fehlt: create-Btn + alle data-action tot; duplicate ohne Backend-Route;maintenance_checklists/index.blade.php:1833-1882,2165;Event-Layer + duplicate-Endpoint;L;bekannt(fixliste#12)
P1;27;Projekte>Wartung>Vertraege;admin.maintenance.contracts.update;CustomerMaintenanceContractController@edit;hoch;Route-falsch;edit() rendert wizard, storeAction immer store -> Bearbeiten erzeugt Duplikat statt Update;maintenance/wizard.blade.php:6-8,483;Edit-Modus auf contracts.update + PUT;M;bekannt(p1 3.12)
P1;28;Arbeitsbereich>Dashboard;dashboard.tab/my_data;EmployeeDashboardController@loadTabContent/getTabCounts/getMyData;hoch;Erreichbarkeit/Crash;tote Sekundaer-Endpunkte: getProjects/getOffers + Task/Appointment fehlen + alle 6 Tab-Partials + my_*-Modal-Views fehlen -> 500/ViewNotFound bei Direktaufruf;EmployeeDashboardController.php:421-423,683-685,1850,1897;Methoden/Views anlegen oder Endpunkte loeschen;M;bekannt(fixliste#1-3)
P2;29;CRM>Anfragen>Bearbeiten;inquiry.update;InquiryController@update;kritisch;Workflow/Datenverlust;status='Unpublished' bedingungslos + Produktliste geloescht/neu -> verifizierte Anfrage verliert Status;InquiryController.php:1360,1363;Status nur bei Draft setzen;S;bekannt(fixliste#4/befund#7)
P2;30;Lager>Lagerausgaben;request.out.delete/update;InventoryRequestOutController;kritisch;Workflow/Datenverlust;store zieht Bestand ab, destroy/update bucht NICHT zurueck -> Inventarschwund bei Storno; zudem Abzug schon bei Entwurf;InventoryRequestOutController.php:256,275-326;Rueckbuchung in destroy/Storno; Abzug erst bei Freigabe;M;bekannt(p1 2.2)
P2;31;Personal>Mitarbeiter>Urlaub;leave.approve;LeaveController@approve;hoch;Workflow/Datenverlust;approve() dekrementiert employees.remaining_day NICHT (nur save() tut das) -> Resttage nie verbraucht; zudem GET-Schreiben;LeaveController.php:230-258;decrement in DB::transaction + POST;S;bekannt(befund#9)
P2;32;Personal>HR-Daten>Urlaubsanspruch;leave.day.update;LeaveDayController@update;mittel;Workflow/Datenverlust;update() setzt status='Not published' hart -> Bearbeiten entzieht still Published-Status;LeaveDayController.php:71;Status beibehalten;S;bekannt(fixliste#21)
P3;33;Projekte>Termine>Termindetail;customer.appointments.show;CustomerMainAppointmentController@show;kritisch;Sicherheit/XSS;Stored XSS: Report-HTML roh per {!! $r->report !!}, gespeichert ohne Sanitizing;appointments/show.blade.php:1635 + AppointmentReportController@store:112;{{ }} bzw. HTML-Purifier;S;bekannt(befund#4)
P3;34;Support>Tickets>Profil;problem.profile/edit;ProblemController@profile/edit;kritisch;Sicherheit/XSS;Stored XSS: problem/solution/report roh per {!! !!}, Quill-HTML unsanitized;problem/profile.blade.php:2090,2174,2328 + problem_edit.blade.php:1254;mews/purifier vor Speichern;M;bekannt(befund#58/#59)
P4;35;quer (GET-Destroy/State);diverse *_destroy / *.active/publish (GET);diverse;hoch;Sicherheit/CSRF;>30 zustandsaendernde Aktionen als GET ohne CSRF (Anfragen, User, Branch, Personal HR, Produkt, Measure, Discount, Handover, Installment, Note-Kat, Problem, new_lead_delete...);routes/web.php (viele);systematisch auf POST/DELETE + @csrf;L;bekannt(befund#22/#25/#27/#108/#114)
P4;36;CRM>Partner>Alle Kontakte;global.restore.brand/distributor;AllContactController@brand/distributor;kritisch;CRUD/Crash;Brand/Distributor::withTrashed()->restore() ohne SoftDeletes-Trait -> BadMethodCallException 500;AllContactController.php:994,1001;SoftDeletes+deleted_at oder Restore deaktivieren;M;bekannt(befund#8)
P4;37;CRM>Partner>Externe Firmen;external.update;ExternalPersonalController@update;hoch;Route-falsch;Neu-Anlegen postet external.update statt store; find(null)->update Fatal -> Anlegen defekt;external/external.blade.php:63;action auf route('external.store');S;bekannt(befund#67)
P4;38;CRM>Partner>Marken(Banken/Vers.);brand.store/update;BrandController;mittel;Workflow;Edit erlaubt Typ-Wechsel + Create-Typ-Default kontextlos -> neuer Datensatz verschwindet aus typ-gefilterter Liste; keine fachspezifischen Felder;brand.blade.php:888,953;Typ im Create vorbelegen, im Edit sperren;M;NEU
P4;39;Lager>Uebergaben;(Edit-Modal);-;mittel;CRUD/UX;Bearbeiten-Modal hat leeren modal-body -> toter Button;handover_details.blade.php:189-191;Edit-Formular rendern;M;bekannt(fixliste#12)
P4;40;Projekte>Notizen>Persoenliche Notizen;notes.details;PersonalNoteController@details;mittel;CRUD;initNoteSelect2() ReferenceError (Scope) + toter add_category-Button;notes/note.blade.php:1079,884,1506;init in aeusseren Scope, Handler ergaenzen;S;bekannt(fixliste#5/7)
P4;41;Admin>Benutzer>Anlegen;user.store/limit_store;UserController;mittel;CRUD;is_active=$request->has()?1:1 -> Toggle wirkungslos, inaktiver User nicht anlegbar;UserController.php:137,299;korrekte 0/1-Auswertung;S;NEU
P4;42;CRM>Kommunikation>Lead-Konten;lead-email-accounts.update;LeadEmailAccountsController@update;mittel;Validierung;password bei jedem Edit required -> ohne erneute Eingabe nicht speicherbar;LeadEmailAccountsController.php:112;password nullable;S;NEU
P5;43;CRM>Leads(quer);inquiry.store/list;InquiryController;mittel;Konsistenz;contact_person als auth()->user()->name gespeichert, Listen joinen employees.id -> Bearbeiter leer bei nicht-numerischem Namen;InquiryController.php:72,1055;einheitlich employee-FK;M;NEU
P5;44;Projekte>Allgemeine Aufgaben;general-tasks.*;GeneralTaskController;mittel;Konsistenz;(int)auth()->user()->name 12x statt employeeId() -> claimed_by/created_by=0 bei admin/nicht-numerisch;GeneralTaskController.php:24,205,264,366;auf employeeId() + Null-Guard;S;NEU
P5;45;quer (Wissensdatenbank/Notizen/Profil);knowledge.*, notes, limit_user;diverse;mittel;Konsistenz/UX;DE/EN-Mix + Label-Brueche: knowledge EN-Flash + 'knowlege'-Typo + Doppelroute; limit_user komplett EN; Notizen Titel 'To-Dos' vs Label;KnowledgeCategoryController.php:65,108 + routes:4543 + limit_user.blade.php:3 + note.blade.php:2;eindeutschen, Labels vereinheitlichen;M;teils-NEU
P5;46;Berichte>Tagesberichte(Badge);employee.daily.plan;SidebarCountController;mittel;Konsistenz/UX;count_key daily_reports hat keinen Producer -> Badge dauerhaft unsichtbar;sidebar.blade.php:450 + SidebarCountController.php:20-95;count ergaenzen oder key entfernen;S;NEU
P5;47;quer (Routen-Duplikate);daily.report.delete / branches.chart / inquiry.verify / overdue.report.store / dashbaord;diverse;niedrig;Routing;mehrere doppelt/falsch registrierte Routen + Route-Name-Typo 'dashbaord';routes/web.php:606,1875,1891,2763,4012,638;Duplikate entfernen, Typo fixen;S;teils-NEU
P6;48;Arbeitsbereich/Berichte/CRM(quer);-;EmployeeDashboard/OverdueCenter/NewLeads/Deal;mittel;Performance;N+1 + ungebremste get() in Dashboard, Berichten, Leadliste, Deal-Listen, Kalender, Wartung (>15 Stellen);diverse (siehe stabilitaet-fixliste #5-29);Pagination/Eager-Load/Aggregat;L;bekannt(fixliste)
P6;49;quer;-;NewLeads(14k)/OverdueCenter(4.6k)/Deal(3.6k)/EmployeeDashboard(2.3k);mittel;Architektur;Fat Controller ohne Service-Schicht/FormRequests; doppelte Anlage-Flows (Employee add/store); 2 Chat-Systeme;diverse;Services/FormRequests, konsolidieren;L;bekannt(befund#1-3/36/37)
