id,regel,modul,severity,location,titel,problem,vorschlag,verifikation,verifikationsart
11,kausalitaet,Finanzen,kritisch,app/Http/Controllers/Customer/BegFundingsController.php:49,BegFundingsController::store() referenziert nicht-existierende Klasse BegFunding (Fatal Error),In store() wird BegFunding::create([...]) aufgerufen (singular). Importiert ist aber App\Models\BegFundings (plural). Eine Klasse BegFunding existiert nicht (Model-Datei nicht gefunden). Jeder POST auf beg-fundings.store endet mit einem PHP-Fatal-Error.,Zeile 49 auf BegFundings::create([...]) korrigieren (konsistent mit dem Import in Zeile 6).,"In /Users/yamanuri/Documents/ticket/app/Http/Controllers/Customer/BegFundingsController.php Zeile 49 wird tatsaechlich `BegFunding::create([...])` aufgerufen, obwohl nur `App\Models\BegFundings` (plural) importiert ist (Zeile 6) und keine Klasse/Datei `BegFunding` im Models-Verzeichnis existiert. Jeder POST auf `store()` fuehrt zwingend zu einem PHP Fatal Error (Class ""BegFunding"" not found). Der Schweregrad kritisch ist angemessen.",statisch
12,kausalitaet,Admin & System,kritisch,app/Http/Controllers/Admin/GarbageController.php:29,GarbageController prüft Berechtigung gegen falsche Spalte (user->name statt user->id),"ensureDeletePermission() sucht in user_rolls mit WHERE user_id = auth()->user()->name. user_rolls.user_id ist eine Foreign Key auf users.id (unsignedBigInteger, siehe Migration 2023_06_14). users.name speichert jedoch die employee_id (String). Ergebnis: Die Berechtigungsprüfung schlägt für alle Benutzer fehl (kein Match), abort_unless(false, 403) blockiert jeden Zugriff – oder, wenn employee_id numerisch ist und zufällig einer users.id entspricht, wird fälschlicherweise Zugang gewährt. Die gesamte Garbage-Bereinigung ist funktionsunfähig.","Zeile 29 ändern auf ->where('user_id', $user->id), analog zur korrekten Implementierung in UserRollController.php.","Der Bug existiert exakt an der gemeldeten Stelle: GarbageController.php Zeile 29 vergleicht `user_rolls.user_id` (unsignedBigInteger FK auf users.id, bestätigt durch Migration 2023_06_14_131732) gegen `$user->name` (String-Spalte ohne employee_id-Semantik laut users-Migration). Der Code-Kommentar (Zeilen 24-27) behauptet, name speichere die employee_id, findet aber keine Stütze in der users-Migration. UserRollController.php verwendet überall korrekt `users.id` für denselben Join. Der Schweregrad kritisch ist angemessen, da die Berechtigungsprüfung für alle regulären Benutzer fehlschlägt.",statisch
13,kausalitaet,Admin & System,kritisch,app/Http/Middleware/isAdmin.php:22-29,isAdmin-Middleware joiniert users.name (employee_id) mit user_rolls.user_id – immer falsch,"JOIN users ON users.name = user_rolls.user_id: user_rolls.user_id verweist auf users.id (Integer-FK), users.name enthält employee_id (String). Der Join produziert nie valide Zeilen; auth()->user()->name == $user (null) ist niemals wahr. Alle durch diese Middleware geschützten Routen (Rechnung/Invoice-Zugang) sind entweder immer gesperrt oder zeigen undefiniertes Verhalten.",Join-Bedingung auf users.id = user_rolls.user_id korrigieren; WHERE auf user_rolls.user_id = auth()->id() ändern.,"Die Stelle existiert exakt wie beschrieben: Zeile 22 joiniert `users.name` (String) mit `user_rolls.user_id` (Integer-FK auf users.id), was nie eine gültige Zeile liefert. Zeile 23 filtert zusätzlich `user_rolls.user_id` (Integer) gegen `auth()->user()->name` (String), was den Fehler bestätigt – `$user` ist stets null, der Vergleich auf Zeile 29 schlägt immer fehl, und alle Invoice-Routen sind dauerhaft gesperrt.",statisch
14,kausalitaet,Dashboard,kritisch,app/Http/Controllers/EmployeeDashboardController.php:1821-1848,Zweistufige N+1-Query-Schleife beim Laden der Kundenliste im Dashboard,Für jeden Kunden (Zeile 1821) wird eine separate DB::table('lead_alternative_adds')-Abfrage ausgeführt (Zeile 1822-1826). Für jedes Objekt dieses Kunden (Zeile 1828) folgt eine weitere DB::table('lead_product_lists')-Abfrage (Zeile 1829-1841). Bei 50 Kunden mit je 3 Objekten entstehen 1 + 50 + 150 = 201 Datenbankabfragen für einen einzigen API-Call.,"Alle customer_ids vorher sammeln, dann einmalig alle lead_alternative_adds und lead_product_lists mit whereIn($customerIds) laden und per PHP keyBy/groupBy zuordnen. Das reduziert 1+N+N*M Abfragen auf 3 Abfragen.","Die Stelle existiert exakt wie beschrieben: In `/app/Http/Controllers/EmployeeDashboardController.php` Zeilen 1821-1848 läuft ein `foreach ($customers as $customer)` (Zeile 1821), der für jeden Kunden eine separate `DB::table('lead_alternative_adds')`-Abfrage auslöst (Zeile 1822-1826), und ein inneres `foreach ($customer->objects as $object)` (Zeile 1828), das für jedes Objekt eine weitere `DB::table('lead_product_lists')`-Abfrage ausführt (Zeile 1829-1841) — ein klassisches zweistufiges N+1-Muster ohne jede Caching- oder Batch-Konvention im Code.",statisch
15,konsistenz,Querschnitt,kritisch,"app/Http/Controllers/EconomicCalculationController.php:84, resources/views/admin/customer_economic_calculation/economic_calculation/create.blade.php:117",Flash-Message-Key 'update_msg' vs. 'updated_msg' – Silent-Fail in 143 Views,"Controller setzen den Session-Key 'update_msg' (19 Stellen), während 143 Views session('updated_msg') lesen. Die Meldung wird dadurch nie angezeigt. Exemplarisch: create.blade.php prüft Session::has('update_msg') korrekt, rendert aber session('updated_msg') – der Wert ist immer leer.","Vereinheitlichen auf einen Key, z. B. 'update_msg'. Alle 143 Vorkommen von session('updated_msg') in Views sowie die 6 Controller-Stellen, die 'updated_msg' setzen, müssen angeglichen werden.","Zeile 84 des Controllers setzt den Key `update_msg`, während Zeile 117 von `create.blade.php` exakt den Widerspruch zeigt: `Session::has('update_msg')` (richtig) vs. `session('updated_msg')` (falscher Key mit ""d""), sodass der Wert immer leer bleibt. Die berichteten Zahlen (19 Controller-Stellen mit `update_msg`, 143 Views mit `updated_msg`) sind durch Grep exakt bestätigt – kein Hinweis auf bewusste Konvention.",statisch
16,plausibilitaet,CRM – Kommunikation,kritisch,resources/views/admin/lead_email/email_config/account.blade.php:276 / app/Http/Controllers/Email/LeadEmailAccountsController.php:118,IMAP-Passwörter im Klartext in DB und HTML gespeichert und exponiert,"Das IMAP-Passwort wird unverschlüsselt als VARCHAR in der Datenbank gespeichert (Migration Zeile 18: 'store encrypted if possible' – Kommentar ohne Umsetzung) und direkt als HTML-data-Attribut ins DOM gerendert (data-password=""{{ $account->password }}""). Jeder Nutzer, der die Seite aufruft und DevTools öffnet, sieht alle IMAP-Passwörter aller Konten im Klartext. Außerdem wird das Passwort im Edit-Modal als Plaintext in ein type='text'-Feld gefüllt.",1) Laravel Crypt::encryptString/decryptString im Model via $casts = ['password' => 'encrypted'] aktivieren. 2) Im Edit-Formular kein Passwort aus der DB vorausfüllen – stattdessen Platzhalter-Asterisks und nur bei Änderung ein neues Passwort akzeptieren. 3) HTML-Attribut data-password entfernen.,"Alle drei Teilbefunde sind real und durch Code belegt: Die Migration (2025_05_09_081011_create_lead_email_accounts_table.php:18) speichert das Passwort als VARCHAR mit einem Kommentar ""store encrypted if possible"", der nie umgesetzt wurde; das Model LeadEmailAccounts.php besitzt kein $casts-Array und damit keine Verschlüsselung; und in account.blade.php:276 wird das Klartext-Passwort direkt als data-password=""{{ $account->password }}"" ins DOM geschrieben, sodass es für jeden angemeldeten Benutzer mit DevTools sichtbar ist. Der Schweregrad ""kritisch"" ist angemessen, da IMAP-Zugangsdaten unverschlüsselt persistiert und client-seitig exponiert werden.",statisch
17,plausibilitaet,CRM – Leads & Kunden,kritisch,app/Http/Controllers/Customer/NewLeadsController.php:6411,Undefinierte Variable $oldValue im Audit-Log führt zu PHP-Fehler,"In updateField() wird in der logActivity-Zeile $oldValue referenziert (L6411: ['from' => $oldValue, 'to' => $value]), obwohl diese Variable nirgends in der Methode definiert wird. In PHP 8 führt das zumindest zu einer Deprecation-Notice, in früheren Versionen zu einem Undefined variable-Notice. Das bedeutet: jedes Mal wenn ein Feld über den AJAX-Endpunkt update-field geändert wird, schlägt die Audit-Protokollierung mit einem PHP-Fehler fehl (je nach error_reporting kann die gesamte Antwort fehlschlagen).",Vor dem Update den Originalwert lesen: $oldValue = $alternative->{$dbField} ?? null; – direkt nach dem $alternative-Laden (L6389) einfügen.,"In der Methode updateField() (ab L6333 in /app/Http/Controllers/Customer/NewLeadsController.php) wird $oldValue nirgends definiert – $alternative wird an L6389 geladen, danach wird $alternative->$dbField an L6402 sofort überschrieben, ohne den Altwert vorab zu speichern. An L6411 wird $oldValue dennoch in der logActivity-Zeile referenziert, was in PHP 8 eine Deprecation-Notice und in PHP 7 eine Undefined-variable-Notice erzeugt, sodass der Audit-Log-Eintrag immer null als 'from'-Wert enthält und je nach error_reporting/Exception-Handler die gesamte JSON-Antwort fehlschlagen kann.",statisch
18,redundanz,Querschnitt,kritisch,app/Http/Controllers/Old/,40 tote Controller in app/Http/Controllers/Old/ - vollstaendig unreferenziert,"40 PHP-Controller-Dateien in einem dedizierten Old/-Ordner (AppointmentController.php, CustomerController.php, ProjectController.php, TaskToDoController.php, OfferConfigController.php u.v.m.). Grep auf routes/ ergab 0 Treffer fuer Controllers\Old\. Aktive Pendants existieren in Appointment/, Customer/, Project/ usw. Der Ordner ist toter Code, wird aber weiterhin von Composer autoloaded (psr-4).","Den gesamten Ordner app/Http/Controllers/Old/ loeschen. Vor dem Loeschen sicherstellen, dass kein dynamischer require/use-Aufruf existiert (vollstaendiger app/-Scan auf 'Old\\'). Danach composer dump-autoload ausfuehren.","Der Ordner app/Http/Controllers/Old/ existiert mit genau 40 PHP-Dateien. Alle deklarieren namespace App\Http\Controllers (nicht Controllers\Old\), d.h. der Audit-Befund ist real, aber die Beschreibung leicht ungenau: kein eigener Old\-Namespace, sondern dieselbe Basis-Namespace wie die aktiven Controller - was neben totem Code auch ein Klassen-Kollisionsrisiko bedeutet. Grep auf routes/ und app/ ergibt 0 Treffer fuer Referenzen auf diese Klassen; aktive Pendants existieren in Unterordnern (Appointment/, Customer/, Project/ usw.).",statisch
19,redundanz,Querschnitt,kritisch,resources/views/admin/,107 'blade copy'-Dateien in 25 Old-Code-Verzeichnissen in resources/views/,"107 Blade-Dateien mit Namensmuster '*.blade copy*.php', '*.blade copy 2.php' etc. verteilt in 25 Verzeichnissen mit Namen wie 'Old Code', 'old codes', 'oldcode'. Groesste Ansammlungen: checklist/profitablity_calculation/Old Code (26 Dateien), planner/old (14), new_leads/old code (14), dashboard/old codes (10), layouts/OLD CODE (10). Keines dieser Verzeichnisse wird per @include oder view() referenziert.","Alle 25 Old-Code-Verzeichnisse und die 107 copy-Dateien loeschen. Empfohlen: git-basiertes Loeschprotokoll (git rm -r), damit die Historie erhalten bleibt. Kein Backup noetig - Git ist das Backup.","Die Prüfung bestätigt exakt 107 ""blade copy""-Dateien und 37 Old-Code-Verzeichnisse unter resources/views/admin/ — Zahlen stimmen mit dem Fund überein. Weder app/ noch routes/ enthalten irgendeine Referenz auf diese Pfade (grep ohne Treffer), es handelt sich um macOS-Finder-Arbeitskopien (profit.blade copy 2–5.php), keine bewusste Projekkonvention. Severity ""kritisch"" ist jedoch leicht übertrieben — totes View-Material verursacht keinen Laufzeitfehler; ""mittel"" bis ""hoch"" wäre angemessener.",statisch
20,routing,CRM – Kommunikation,kritisch,routes/web.php:599,Öffentliche Route gibt LeadEmail-Inhalte ohne Authentifizierung zurück,"Route::get('lead/email/api/{id}', [WebsiteController::class, 'getEmailDetails']) liegt außerhalb jeder Auth-Middleware-Gruppe und gibt Absender, Betreff, Body und Domain von Lead-E-Mails zurück. Jeder unauthentifizierte Besucher kann durch Enumeration aller IDs sämtliche eingehenden Kunden-E-Mails lesen. Der WebsiteController enthält keinerlei Auth-Check für diese Methode.","Die Route in eine auth-geschützte Gruppe verschieben oder die Route zugunsten der bereits existierenden Route lead.email.show (admin/lead-email/show/{id}, geschützt) entfernen. Beide Endpunkte tun dasselbe.","Die Route `Route::get('lead/email/api/{id}', [WebsiteController::class, 'getEmailDetails'])` existiert exakt in /routes/web.php:599 ausserhalb jeder Auth-Middleware-Gruppe; die Methode `getEmailDetails` in /app/Http/Controllers/WebsiteController.php:457 fuehrt keinerlei Authentifizierungs- oder Autorisierungspruefung durch und gibt subject, from, domain, date, body und status von LeadEmail-Datensaetzen als JSON zurueck. Eine geschuetzte Alternative (lead.email.show unter admin-Prefix mit ['auth']-Middleware, Zeile 1393) existiert bereits, was die oeffentliche Route redundant und ungeschuetzt macht – Enumeration aller E-Mail-IDs ist trivial moeglich.",dynamisch — bestätigt (anonym erreichbar)
21,routing,CRM – Anfragen,kritisch,"routes/web.php:4003,4037,4057,4668",4 Routen verweisen auf nicht existente Controller-Methoden (500),"Vier registrierte Routen erzeugen zur Laufzeit eine MethodNotAllowedException bzw. einen 500-Fehler, weil die zugeordneten Methoden im Controller nicht existieren: (1) GET /inquiry_publish/{id} → InquiryController@publish (Methode fehlt komplett); (2) POST /admin/inquiries/ai-save → InquiryController@storeFromAI (Methode fehlt); (3) GET /admin/fusion-forms/import → FusionFormSubmissionController@importFromGoneo (Methode fehlt); (4) POST /fusion/import/one → FusionFormSubmissionController@importFusionEntryToInquiry (Methode fehlt). Alle vier Endpunkte sind im Frontend erreichbar, liefern aber stets einen Fehler.","Methoden implementieren oder Routen entfernen. Bis dahin temporaer 501 NotImplemented zurueckgeben oder Route auskommentieren, damit das Routing-Register sauber bleibt.","Alle vier fehlenden Methoden sind real: `InquiryController::publish` und `InquiryController::storeFromAI` existieren nicht (die Methoden-Liste zeigt nur `published()`, `verify()`, `store()` etc.); `FusionFormSubmissionController::importFromGoneo` fehlt ebenfalls (nur `ajaxImportFromGoneo` existiert), und `importFusionEntryToInquiry` existiert nicht (nur `importSingle`/`importAll`). Die genannten Zeilennummern 4057 und 4668 sind jedoch falsch – die tatsächlichen problematischen Routen befinden sich in routes/web.php:4003, 4037, 657 und 668; der Schweregrad ""kritisch"" ist angemessen, da alle vier Endpunkte einen 500-Fehler zur Laufzeit erzeugen.",statisch
