id,regel,modul,severity,status,location,titel,problem,vorschlag,confidence
14,kausalitaet,Admin & System,kritisch,bestätigt,app/Http/Middleware/isAdmin.php:22-29,isAdmin-Middleware joiniert users.name (employee_id) mit user_rolls.user_id – immer falsch,"JOIN users ON users.name = user_rolls.user_id: user_rolls.user_id verweist auf users.id (Integer-FK), users.name enthält employee_id (String). Der Join produziert nie valide Zeilen; auth()->user()->name == $user (null) ist niemals wahr. Alle durch diese Middleware geschützten Routen (Rechnung/Invoice-Zugang) sind entweder immer gesperrt oder zeigen undefiniertes Verhalten.",Join-Bedingung auf users.id = user_rolls.user_id korrigieren; WHERE auf user_rolls.user_id = auth()->id() ändern.,hoch
15,kausalitaet,Dashboard,kritisch,bestätigt,app/Http/Controllers/EmployeeDashboardController.php:1821-1848,Zweistufige N+1-Query-Schleife beim Laden der Kundenliste im Dashboard,Für jeden Kunden (Zeile 1821) wird eine separate DB::table('lead_alternative_adds')-Abfrage ausgeführt (Zeile 1822-1826). Für jedes Objekt dieses Kunden (Zeile 1828) folgt eine weitere DB::table('lead_product_lists')-Abfrage (Zeile 1829-1841). Bei 50 Kunden mit je 3 Objekten entstehen 1 + 50 + 150 = 201 Datenbankabfragen für einen einzigen API-Call.,"Alle customer_ids vorher sammeln, dann einmalig alle lead_alternative_adds und lead_product_lists mit whereIn($customerIds) laden und per PHP keyBy/groupBy zuordnen. Das reduziert 1+N+N*M Abfragen auf 3 Abfragen.",hoch
16,konsistenz,Querschnitt,kritisch,bestätigt,"app/Http/Controllers/EconomicCalculationController.php:84, resources/views/admin/customer_economic_calculation/economic_calculation/create.blade.php:117",Flash-Message-Key 'update_msg' vs. 'updated_msg' – Silent-Fail in 143 Views,"Controller setzen den Session-Key 'update_msg' (19 Stellen), während 143 Views session('updated_msg') lesen. Die Meldung wird dadurch nie angezeigt. Exemplarisch: create.blade.php prüft Session::has('update_msg') korrekt, rendert aber session('updated_msg') – der Wert ist immer leer.","Vereinheitlichen auf einen Key, z. B. 'update_msg'. Alle 143 Vorkommen von session('updated_msg') in Views sowie die 6 Controller-Stellen, die 'updated_msg' setzen, müssen angeglichen werden.",hoch
17,plausibilitaet,CRM – Kommunikation,kritisch,bestätigt,resources/views/admin/lead_email/email_config/account.blade.php:276 / app/Http/Controllers/Email/LeadEmailAccountsController.php:118,IMAP-Passwörter im Klartext in DB und HTML gespeichert und exponiert,"Das IMAP-Passwort wird unverschlüsselt als VARCHAR in der Datenbank gespeichert (Migration Zeile 18: 'store encrypted if possible' – Kommentar ohne Umsetzung) und direkt als HTML-data-Attribut ins DOM gerendert (data-password=""{{ $account->password }}""). Jeder Nutzer, der die Seite aufruft und DevTools öffnet, sieht alle IMAP-Passwörter aller Konten im Klartext. Außerdem wird das Passwort im Edit-Modal als Plaintext in ein type='text'-Feld gefüllt.",1) Laravel Crypt::encryptString/decryptString im Model via $casts = ['password' => 'encrypted'] aktivieren. 2) Im Edit-Formular kein Passwort aus der DB vorausfüllen – stattdessen Platzhalter-Asterisks und nur bei Änderung ein neues Passwort akzeptieren. 3) HTML-Attribut data-password entfernen.,hoch
18,plausibilitaet,CRM – Leads & Kunden,kritisch,bestätigt,app/Http/Controllers/Customer/NewLeadsController.php:6411,Undefinierte Variable $oldValue im Audit-Log führt zu PHP-Fehler,"In updateField() wird in der logActivity-Zeile $oldValue referenziert (L6411: ['from' => $oldValue, 'to' => $value]), obwohl diese Variable nirgends in der Methode definiert wird. In PHP 8 führt das zumindest zu einer Deprecation-Notice, in früheren Versionen zu einem Undefined variable-Notice. Das bedeutet: jedes Mal wenn ein Feld über den AJAX-Endpunkt update-field geändert wird, schlägt die Audit-Protokollierung mit einem PHP-Fehler fehl (je nach error_reporting kann die gesamte Antwort fehlschlagen).",Vor dem Update den Originalwert lesen: $oldValue = $alternative->{$dbField} ?? null; – direkt nach dem $alternative-Laden (L6389) einfügen.,hoch
19,redundanz,Querschnitt,kritisch,bestätigt,app/Http/Controllers/Old/,40 tote Controller in app/Http/Controllers/Old/ - vollstaendig unreferenziert,"40 PHP-Controller-Dateien in einem dedizierten Old/-Ordner (AppointmentController.php, CustomerController.php, ProjectController.php, TaskToDoController.php, OfferConfigController.php u.v.m.). Grep auf routes/ ergab 0 Treffer fuer Controllers\Old\. Aktive Pendants existieren in Appointment/, Customer/, Project/ usw. Der Ordner ist toter Code, wird aber weiterhin von Composer autoloaded (psr-4).","Den gesamten Ordner app/Http/Controllers/Old/ loeschen. Vor dem Loeschen sicherstellen, dass kein dynamischer require/use-Aufruf existiert (vollstaendiger app/-Scan auf 'Old\\'). Danach composer dump-autoload ausfuehren.",hoch
20,redundanz,Querschnitt,kritisch,bestätigt,resources/views/admin/,107 'blade copy'-Dateien in 25 Old-Code-Verzeichnissen in resources/views/,"107 Blade-Dateien mit Namensmuster '*.blade copy*.php', '*.blade copy 2.php' etc. verteilt in 25 Verzeichnissen mit Namen wie 'Old Code', 'old codes', 'oldcode'. Groesste Ansammlungen: checklist/profitablity_calculation/Old Code (26 Dateien), planner/old (14), new_leads/old code (14), dashboard/old codes (10), layouts/OLD CODE (10). Keines dieser Verzeichnisse wird per @include oder view() referenziert.","Alle 25 Old-Code-Verzeichnisse und die 107 copy-Dateien loeschen. Empfohlen: git-basiertes Loeschprotokoll (git rm -r), damit die Historie erhalten bleibt. Kein Backup noetig - Git ist das Backup.",hoch
21,routing,CRM – Kommunikation,kritisch,bestätigt,routes/web.php:599,Öffentliche Route gibt LeadEmail-Inhalte ohne Authentifizierung zurück,"Route::get('lead/email/api/{id}', [WebsiteController::class, 'getEmailDetails']) liegt außerhalb jeder Auth-Middleware-Gruppe und gibt Absender, Betreff, Body und Domain von Lead-E-Mails zurück. Jeder unauthentifizierte Besucher kann durch Enumeration aller IDs sämtliche eingehenden Kunden-E-Mails lesen. Der WebsiteController enthält keinerlei Auth-Check für diese Methode.","Die Route in eine auth-geschützte Gruppe verschieben oder die Route zugunsten der bereits existierenden Route lead.email.show (admin/lead-email/show/{id}, geschützt) entfernen. Beide Endpunkte tun dasselbe.",hoch
22,routing,CRM – Anfragen,kritisch,bestätigt,"routes/web.php:4003,4037,4057,4668",4 Routen verweisen auf nicht existente Controller-Methoden (500),"Vier registrierte Routen erzeugen zur Laufzeit eine MethodNotAllowedException bzw. einen 500-Fehler, weil die zugeordneten Methoden im Controller nicht existieren: (1) GET /inquiry_publish/{id} → InquiryController@publish (Methode fehlt komplett); (2) POST /admin/inquiries/ai-save → InquiryController@storeFromAI (Methode fehlt); (3) GET /admin/fusion-forms/import → FusionFormSubmissionController@importFromGoneo (Methode fehlt); (4) POST /fusion/import/one → FusionFormSubmissionController@importFusionEntryToInquiry (Methode fehlt). Alle vier Endpunkte sind im Frontend erreichbar, liefern aber stets einen Fehler.","Methoden implementieren oder Routen entfernen. Bis dahin temporaer 501 NotImplemented zurueckgeben oder Route auskommentieren, damit das Routing-Register sauber bleibt.",hoch
23,routing,CRM – Anfragen,kritisch,bestätigt,"routes/web.php:4002,4003,4004,4005,4006,4009,4107","GET-Routen fuer destruktive Operationen (Delete, Junk, Restore, Verify)","Sieben Routen verwenden HTTP GET fuer zustandsaendernde/destruktive Operationen: GET /inquiry_delete/{id} (loescht), GET /inquiry_publish/{id} (veroeffentlicht), GET /inquiry_verify/{id} (verifiziert), GET|POST /inquiry_junk/{id} (markiert als Junk), GET|POST /inquiry_unjunk/{id} (entfernt Junk), GET /inquiry_restore/{id} (stellt wieder her), GET /inquiry_type_destroy/{id} (loescht Typ). GET-Requests werden von Browsern vorgeladen (Prefetch, Google Bot), koennen in Logs landen und sind nicht CSRF-geschuetzt. Ein einfacher Link in einer E-Mail oder einer externen Seite koennte Datensaetze loeschen.",Alle Zustandsaenderungen auf POST/PUT/PATCH/DELETE umstellen. Vorhandene REST-Routen (z.B. DELETE inquiries/{inquiry}/discard) als Vorbild nehmen und die alten Routen entfernen.,hoch
24,routing,CRM – Partner,kritisch,bestätigt,routes/web.php:4609-4615,AllContactController ohne Auth-Middleware: alle Kontakte und Export öffentlich,"Die Routen /all-contacts, /all-contacts/export, /global-search und /global-restore/* liegen in einem Route::middleware('web')-Block ohne 'auth'. Der AllContactController hat keinen Middleware-Aufruf im Konstruktor. Damit kann jeder anonyme Nutzer die konsolidierte Kontaktliste (Kunden, Mitarbeiter, Hersteller, Lieferanten), den CSV-Export und die Restore-Endpunkte aufrufen.","Middleware-Gruppe auf ['web', 'auth'] ändern oder im AllContactController-Konstruktor $this->middleware('auth') ergänzen.",hoch
25,routing,Vertrieb – Angebote,kritisch,bestätigt,app/Http/Controllers/Customer/Offer/OfferCommentController.php:1-57,OfferCommentController ohne Auth-Middleware – alle Endpoints unauthentifiziert aufrufbar,"OfferCommentController (index, store, update, destroy) besitzt weder einen __construct-Aufruf mit $this->middleware('auth') noch ist er in einer Route-Gruppe mit auth-Middleware registriert (routes/web.php Zeile 108 zeigt nur den use-Import, keine Route-Registrierung im auth-Block). Damit können Kommentare ohne Login gelesen, erstellt, editiert und gelöscht werden. Zusätzlich fehlt in store() jede Validierung der Eingaben (customer_id, comment etc.).",Sofort __construct mit $this->middleware('auth') ergänzen. Alle Routen in einen Route::middleware(['auth'])-Block verschieben. Request-Validierung (FormRequest oder Validator::make) für store/update ergänzen.,hoch
26,routing,Personal / HR,kritisch,bestätigt,"routes/web.php:1539,1687,1698,2829,2836,1610","Destruktive Operationen über GET-Routen (CSRF-Bypass, sofortige Löschung per Link)","Mindestens 6 HR-Löschaktionen sind als GET-Routen registriert: emp_destroy/{id} (Mitarbeiterlöschen), holiday_destroy/{id}, leave_day_destroy/{id}, country_destroy/{id}, tax_destroy/{id}, contract_type_destroy/{id}. GET-Requests werden von Browsern verfolgt (Prefetch, Logs, History, eingebettete Links), unterliegen keinem CSRF-Schutz und erlauben es jedem, der eine URL mit gültiger ID kennt, den Datensatz ohne Bestätigungs-Token zu löschen. Ein normaler Nutzer kann über einen manipulierten Link alle Mitarbeiterdatensätze löschen.","Routen auf DELETE umstellen (Route::delete), Formulare mit @csrf und @method('DELETE') absichern. Alternativ AJAX-Call mit X-CSRF-Token. Alle 70+ im Projekt gefundenen GET-Destroy-Routen systematisch migrieren.",hoch
27,routing,Personal / HR,kritisch,bestätigt,routes/web.php:1810-1815,Leave-Notiz-Endpunkte ohne Auth-Middleware öffentlich erreichbar,"Der Prefix-Block 'Route::prefix(""leaves"")' hat keinerlei Middleware (weder 'auth' noch 'web'). Damit sind GET /leaves/{id}/notes, POST /leaves/{id}/notes/store, PUT /leaves/{id}/notes/update/{index} und DELETE /leaves/{id}/notes/delete/{index} ohne Authentifizierung abrufbar. Jeder Internetzugang kann Urlaubsnotizen lesen, anlegen, ändern und löschen.","Route::prefix('leaves')->middleware(['web','auth'])->group(...) — identisch wie der Block ab Zeile 1784 für die übrigen Leave-Routen.",hoch
28,routing,Artikel,kritisch,bestätigt,"routes/web.php:2278,2310,2475,2844",DELETE-Aktionen über GET-Routen CSRF-ungeschützt,"Die Routen /product_destroy/{id}, /product_description_destroy/{id}, /measure_destroy/{id} und /discount_group_destroy/{id} sind alle als GET definiert. Damit können Datensätze durch einfaches Einbetten einer URL (z. B. <img src=""/product_destroy/5"">) ohne CSRF-Schutz irreversibel gelöscht werden.",Auf DELETE-Verb umstellen (Route::delete) und in den Blade-Views Löschformulare mit @method('DELETE') und @csrf verwenden.,hoch
29,routing,Artikel,kritisch,bestätigt,routes/web.php:2275,is_Admin-Middleware wird im Produkt-Route-Group nicht angewandt,"Route::group(['middleware' => 'web', 'is_Admin'], ...) setzt den Schlüssel 'middleware' auf den String 'web'; der Eintrag 'is_Admin' liegt an Array-Index 0 und wird von Laravel als unbekannter Gruppenattribut-Schlüssel ignoriert. Dadurch gilt für alle Produkt-CRUD-Routen (Anlage, Änderung, Löschung) ausschließlich 'web' – kein Admin-Rollenschutz. Jeder authentifizierte Nutzer darf Produkte anlegen, bearbeiten und löschen.","Route::middleware(['web', 'is_Admin'])->group(...) verwenden, oder innerhalb der Gruppe ->middleware('is_Admin') je Route setzen.",hoch
30,routing,Lager,kritisch,bestätigt,"routes/web.php:2696, 2716",PurchaseRequest- und RequestOut-Routen ohne Auth-Middleware,"Beide Route-Gruppen verwenden ausschließlich middleware('web'). Die 'web'-Gruppe enthält laut Kernel.php (Zeile 35–43) kein 'auth'. Weder PurchaseRequestController noch InventoryRequestOutController setzen im Konstruktor middleware('auth'). Unauthentifizierte Nutzer können so alle Purchase-Request- und Request-Out-Endpunkte (index, list, analytics, store, destroy) aufrufen. auth()->user() wird in diesen Controllern nur mit ?? 'System'-Fallback verwendet, was den Fehler stumm schluckt.","middleware('web') in beiden Route::group-Aufrufen durch middleware(['web','auth']) ersetzen.",hoch
31,routing,Lager,kritisch,bestätigt,routes/web.php:5096,GoodsReceipt-Routen ohne Auth-Middleware,"Route::prefix('admin')->name('admin.') bei Zeile 5096 enthält kein ->middleware('auth'). GoodsReceiptController hat keinen __construct mit middleware-Aufruf. index() und data() führen gar keine Auth-Prüfung durch. relationOptions(), show() ebenfalls. Nur store/update/destroy nutzen authEmployeeId(), die bei fehlendem Login null zurückgibt ohne Redirect.","Die Route-Gruppe auf ->middleware(['auth']) oder ->middleware(['web','auth']) ändern; alternativ im Controller-Konstruktor middleware('auth') hinzufügen.",hoch
32,routing,Finanzen,kritisch,bestätigt,routes/web.php:860,BEG-Förderungen ohne Auth-Middleware (unauthentifizierter Zugriff),"Route::resource('beg-fundings', ...) liegt im 'web'-Only-Middleware-Gruppe (Zeile 769). Kein 'auth'-Middleware. BegFundingsController hat auch keinen __construct()-Middleware-Aufruf. Index, Store, Update und Destroy der BEG-Förderdaten sind somit ohne Login aufrufbar.",Die Route in eine auth-gesicherte Gruppe verschieben oder im BegFundingsController $this->middleware('auth') im Konstruktor ergänzen.,hoch
33,routing,Querschnitt,kritisch,bestätigt,routes/web.php:1444,Middleware-Typo: 'middlware' statt 'middleware' — Auth-Schutz komplett inaktiv,"Route::group(['middlware'=>'auth'], function(){...}) verwendet den falschen Schlüssel 'middlware'. Laravel ignoriert unbekannte Keys stillschweigend, sodass alle 5 darin enthaltenen Routen (customer_phase_manage, customer/phase/manage, customer_phase_get, customer_phase_get_new, customer_phase_management_store, customer_phase_management/color, customer_phase_management_delete) ohne Authentifizierung erreichbar sind.","Schlüssel in 'middleware' korrigieren: Route::group(['middleware'=>'auth'], function(){...}). Anschließend sicherstellen, dass betroffene Routen wirklich auth-geschützt sind.",hoch
34,routing,Querschnitt,kritisch,bestätigt,routes/web.php:3961,GET /route-cache führt Artisan-Befehle aus — kein Auth-Schutz,"Route::get('/route-cache', function(){ Artisan::call('route:cache'); Artisan::call('view:clear'); ... }) liegt außerhalb jeder Middleware-Gruppe. Jeder anonyme HTTP-Request kann damit den Route- und View-Cache der Produktion manipulieren (Cache Poisoning / DoS).",Route entfernen oder in eine auth- und admin-only-Middleware-Gruppe verschieben. Für Cache-Clearing besser einen Artisan-Befehl direkt auf dem Server ausführen.,hoch
35,routing,Querschnitt,kritisch,bestätigt,routes/web.php:404,GET /fix-notes schreibt Datenbankdaten ohne Authentifizierung,"Route::get('/fix-notes', function(){...}) führt DB-Schreiboperationen auf CustomerNote-Datensätzen durch (note->save()) und ist nicht durch Auth-Middleware geschützt. Jeder anonyme Benutzer kann diesen Migrations-Helper beliebig oft aufrufen.",Route nach der Datenmigration komplett entfernen. Solange sie benötigt wird: in eine auth+admin-Middleware-Gruppe verschieben.,hoch
36,workflow,Planner,kritisch,bestätigt,app/Http/Controllers/Planner/PlannerPlanController.php:861-1111,O(N) updateOrCreate + O(N) Kind-Query pro Entity in syncAndLoad,"syncAndLoad() ruft syncAppointments(), syncTickets(), syncPersonalTasks(), syncPhaseActivities() und syncMasterSets() in einer einzigen Transaktion auf. Jede Methode iteriert über ihre Entitätenliste und führt pro Zeile ein PlannerItem::updateOrCreate() aus. Zusätzlich wird in syncAppointments (Zeile 893-897) pro Termin eine extra DB::table('main_appointment_employees')->where('appointment_id', $id)->pluck() ausgeführt, in syncPersonalTasks (Zeile 1086-1102) pro Aufgabe zwei weitere Abfragen (personal_task_keys, employees_personal_tasks). Damit entstehen pro Planner-Öffnung 3×N+2×N DB-Operationen für N Projektentitäten.","Alle IDs zuerst sammeln, Pivot-Daten mit whereIn in einer Abfrage laden (keyBy('id')), dann mit upsert()/insertOrIgnore() als Batch schreiben. syncPlannerItemEmployees() (Zeile 286-294) sollte statt N Einzel-INSERTs ein einziges DB::table()->insert($rows) mit vorbereiteter Array-Liste verwenden.",hoch
